event_id,group_id,name,time
243560370,25903892,"Coffee First, then Let's Get Costumes at Performance Studios",30-09-2017 15:00
229367987,18672773,"Is the Holy Spirit the key to ""COEXIST"" becoming a reality?",19-03-2016 19:00
228826479,18672773,Is Christian Unity good for the poor?,20-02-2016 21:00
228372137,18672773,"""All Things are Possible with God""",06-02-2016 20:00
cfjfjlyvcbnc,18672773,Topic to be announced,30-01-2016 20:00
228200220,18672773,With God ALL THINGS ARE POSSIBLE!!!,23-01-2016 20:00
cfjfjlyvcbvb,18672773,Topic to be announced,16-01-2016 20:00
227760340,18672773,Fate vs. Faith in determining the future,09-01-2016 20:00
cfjfjlytqbzb,18672773,Topic to be announced,19-12-2015 20:00
cfjfjlytqbhb,18672773,IS God Really Love?,05-12-2015 20:00
226440187,18672773,Is Eternal Hell Real?,14-11-2015 20:00
cfjfjlytpbkb,18672773,Topic to be announced,07-11-2015 20:00
238241648,20822884,"Meetup for iOS equipped,  skilled (at least basic) #RESIST AV producers",15-03-2017 00:00
235000790,20822884,Lets gets started ASAP! Before election day? November 7th?,08-11-2016 01:00
240006875,22288842,Family Picnic at Bellevue Red Caboose Park,20-05-2017 17:00
238501010,22288842,Join Us for Hiking in Edwin Warner Park~,26-03-2017 19:00
243301208,25885346,Achilles Nashville Hope & Possibility 5 Miler and 1 Mile Run,21-10-2017 13:00
237681964,20573895,CANADIAN ROCKIES GOLF SAVE $200 WITH EARLY BOOKING dbl ocpy,06-08-2017 00:00
234642222,20573895,Join us for an awesome Travel and Golf Adventure in the Canadian Rockies August,05-08-2017 19:00
242467613,25105164,Nashville Urban Planning October Meet Up,07-10-2017 15:00
hvbxpnywnbkb,25105164,Nashville Urban Planning October Meet-Up,07-10-2017 15:00
hvbxpnywmbdb,25105164,Nashville Urban Planning September Meet-Up,02-09-2017 15:00
241965014,25105164,Monthly Meet-Up to discuss urban planning and new construction in Nashville.,05-08-2017 15:00
243040831,25590123,Home Buyer Seminar,26-09-2017 23:30
242759624,25590123,Home Buyer Seminar ,29-08-2017 23:30
240485098,23040833,Obit movie at the Belcourt,08-06-2017 23:00
238779646,23040833,Death Cafe Meeting,27-04-2017 23:00
244334721,10032122,Nail Your Theses! The next 500 years of Christianity...,24-10-2017
241901625,10032122,Solar Eclipse After-Party,22-08-2017
240835965,10032122,Amish on Mars: will faith pioneer the final frontier?,21-07-2017
240662909,10032122,Siri & the Soulwhat does A.I. tell us about being human?,16-06-2017
239206676,10032122,"Technological Immortality, Life Extension & Christianity",12-05-2017
238840255,10032122,Can Science & Religion work together to Create a Better Future?,14-04-2017
233091851,18964683,Introduction to Nonprofits/Grantwriting,08-09-2016 19:00
232729387,18964683,Basics of Starting and Sustaining a Nonprofit,03-08-2016 19:00
242776081,22504351,SHOOT & MINGLE!  (Special Group Rates),06-09-2017 23:00
237893575,22504351,Ladies Indoor Range Practice,07-03-2017 00:00
sdcmnlyvkbqb,19266450,Let's meet and talk about how to exercise while you rest!,12-07-2016 23:30
sdcmnlyvjbsb,19266450,Let's meet and talk about how to exercise while you rest!,14-06-2016 23:30
sdcmnlyvhbnb,19266450,Let's meet and talk about how to exercise while you rest!,10-05-2016 23:30
sdcmnlyvgbqb,19266450,Let's meet and talk about how to exercise while you rest!,12-04-2016 23:30
sdcmnlyvfblb,19266450,Let's meet and talk about how to exercise while you rest!,09-03-2016 00:30
sdcmnlyvdbmb,19266450,Let's meet and talk about how to exercise while you rest!,10-02-2016 00:30
sdcmnlyvcbqb,19266450,Let's meet and talk about how to exercise while you rest!,13-01-2016 00:30
242102031,24616027,Magento 2 B2B demo at the Refinery!,31-08-2017 23:00
243305432,25150760,Real Estate Industry And Coffee ,11-10-2017 14:00
243556357,25150760,Real Estate And WINE,03-10-2017 22:00
243024248,25150760,Real Estate Industry And Coffee ,12-09-2017 14:00
243682923,26018023,Bhakti Yoga Public Program (Free of Charge) - October 2017,15-10-2017 21:00
243589984,26018023,Bhakti Yoga Public Program (Free of Charge) - September 2017,24-09-2017 21:00
239610618,23486559,Cool-Colored Foliage Arrangement,16-06-2017
233793661,20377182,Pure Storage Nashville Meetup at Yazoo Tap Room,21-09-2016 22:00
240532499,24038214,Play Ball! ,10-06-2017 16:00
230469545,19855182,Open public friendly push hands gathering,20-04-2016 23:30
239678500,20836828,Deep - by C.N. Phillips   Book Discussion,28-10-2017 20:00
239676973,20836828,Middlesex - Book Discussion,30-09-2017 20:00
239676865,20836828,No One is Coming to Save Us - Book Discussion,26-08-2017 20:00
239676754,20836828,CANCELLED- Finding Gideon - Book Discussion,22-07-2017 20:00
241553652,20836828,CANCELLED- Finding Gideon - Book Discussion,10-07-2017 15:00
239265962,20836828,Book Discussion: The Secrets Between These Walls,24-06-2017 20:00
237994653,20836828,The Mothers - Book Discussion,20-05-2017 18:00
237961610,20836828,The Silent Wife: A Novel - Book Discussion,29-04-2017 20:00
238580113,20836828,Ms. Bella Pageant,21-04-2017 23:15
237674735,20836828,Forty Acres- Book Discussion,25-03-2017 20:00
236777375,20836828,Loving Donovan-Book Discussion,18-02-2017 21:00
235699507,20836828,Discussing: The Couple Next Door,07-01-2017 21:00
235099346,20836828,Discussing: I Almost Forgot About You by Terri McMillian,19-11-2016 21:00
243966491,26040985,BBQ and beer. Poquito espańol. ,12-10-2017 23:00
243634313,26040985,Beer and Tacos ?  poquito espańol ...,05-10-2017 23:00
235149668,20909584,Inaugural meeting ,21-11-2016 14:00
243265876,22930798,FREE Introduction to Hyonosis & NLP (Come Have Fun Learning),16-09-2017 21:00
msdswnywnblc,25810092,Monthly Meet and Eat!,28-10-2017 22:30
243482025,25810092,Japanese Moon Viewing Celebration,08-10-2017 20:45
243482324,25810092,Celebrate Nashville Cultural Festival,07-10-2017 15:00
243803866,25810092,Eat and Chat at Seoul Garden,01-10-2017 22:00
244278467,26294237,Nashville Cryptocurrency and Ecommerce ,20-10-2017
ctjgqnywnbpb,25493984,Happy Hour At Bar Louie In The Gulch!!!,11-10-2017 22:30
ctjgqnywnbgb,25493984,Happy Hour At Bar Louie In The Gulch!!!,04-10-2017 22:30
ctjgqnywmbkc,25493984,Happy Hour At Bar Louie In The Gulch!!!,27-09-2017 22:30
ctjgqnywmbbc,25493984,Happy Hour At Bar Louie In The Gulch!!!,20-09-2017 22:30
ctjgqnywmbrb,25493984,Happy Hour At Bar Louie In The Gulch!!!,13-09-2017 21:30
ctjgqnywmbjb,25493984,Happy Hour At Bar Louie In The Gulch!!!,06-09-2017 21:30
ctjgqnywlbnc,25493984,Happy Hour At Bar Louie In The Gulch!!!,30-08-2017 21:30
ctjgqnywlbfc,25493984,Happy Hour At Bar Louie In The Gulch!!!,23-08-2017 21:30
ctjgqnywlbvb,25493984,Happy Hour At Bar Louie In The Gulch!!!,16-08-2017 21:30
243861892,25694632,Networking in The Nations,26-10-2017 22:30
243861827,25694632,Networking in The Nations,11-10-2017 13:00
243185984,25694632,Networking in The Nations,28-09-2017 22:30
243021557,25694632,First Meet - Networking,07-09-2017 12:30
241968403,23984060,Essential oil blendology ,26-08-2017 15:00
241063498,23984060,Blendology - essential oil blending ,22-07-2017 15:00
240240233,23984060,Bring your own essential oils or we will have some available for purchase.,24-06-2017 15:00
236909728,20793609,"New Year, New You!!",27-01-2017 01:00
235996797,20793609,Dance the Holiday Stress Away,09-12-2016 01:00
235252965,20793609,Come enjoy a night of dancing!,04-11-2016 00:00
235027271,20793609,Come enjoy a night of dancing!,28-10-2016 00:00
243589459,24125934,Socialize and code,20-10-2017
242951707,24125934,Socialize and code,22-09-2017
242533884,24125934,Socialize and code,25-08-2017
242190292,24125934,Socialize and code,04-08-2017
241373487,24125934,Code and socialize,14-07-2017
240634805,24125934,Code and socialize,23-06-2017
240391192,24125934,Code!,07-06-2017
228998222,19494897,Join us for the First Meetup!,04-03-2016
242254396,25273815,Let's meet/greet/ride at Blue Moon Grille at Rock Harbor 3pm Saturday the 12th,12-08-2017 20:00
243711311,26069557,"The Interactive Trifecta; Filters, Parameters, and Actions",24-10-2017 22:30
dkwpqywnbfc,1037384,Weekly tournament,23-10-2017 23:30
dkwpqywnbvb,1037384,Weekly tournament,16-10-2017 23:30
dkwpqywnbmb,1037384,Weekly tournament,09-10-2017 23:30
dkwpqywnbdb,1037384,Weekly tournament,02-10-2017 23:30
dkwpqywmbhc,1037384,Weekly tournament,25-09-2017 23:30
dkwpqywmbxb,1037384,Weekly tournament,18-09-2017 23:30
dkwpqywmbpb,1037384,Weekly tournament,11-09-2017 23:30
dkwpqywmbgb,1037384,Weekly tournament,04-09-2017 23:30
dkwpqywlblc,1037384,Weekly tournament,28-08-2017 23:30
dkwpqywlbcc,1037384,Weekly tournament,21-08-2017 23:30
dkwpqywlbsb,1037384,Weekly tournament,14-08-2017 23:30
dkwpqywlbkb,1037384,Weekly tournament,07-08-2017 23:30
dkwpqywkbpc,1037384,Weekly tournament,31-07-2017 23:30
dkwpqywkbgc,1037384,Weekly tournament,24-07-2017 23:30
dkwpqywkbwb,1037384,Weekly tournament,17-07-2017 23:30
dkwpqywkbnb,1037384,Weekly tournament,10-07-2017 23:30
dkwpqywkbfb,1037384,Weekly tournament,03-07-2017 23:30
dkwpqywjbjc,1037384,Weekly tournament,26-06-2017 23:30
dkwpqywjbzb,1037384,Weekly tournament,19-06-2017 23:30
dkwpqywjbqb,1037384,Weekly tournament,12-06-2017 23:30
dkwpqywjbhb,1037384,Weekly tournament,05-06-2017 23:30
dkwpqywhbmc,1037384,Weekly tournament,29-05-2017 23:30
dkwpqywhbdc,1037384,Weekly tournament,22-05-2017 23:30
dkwpqywhbtb,1037384,Weekly tournament,15-05-2017 23:30
dkwpqywhblb,1037384,Weekly tournament,08-05-2017 23:30
dkwpqywhbcb,1037384,Weekly tournament,01-05-2017 23:30
dkwpqywgbgc,1037384,Weekly tournament,24-04-2017 23:30
dkwpqywgbwb,1037384,Weekly tournament,17-04-2017 23:30
dkwpqywgbnb,1037384,Weekly tournament,10-04-2017 23:30
dkwpqywgbfb,1037384,Weekly tournament,03-04-2017 23:30
dkwpqywfbkc,1037384,Weekly tournament,27-03-2017 23:30
dkwpqywfbbc,1037384,Weekly tournament,20-03-2017 23:30
dkwpqywfbrb,1037384,Weekly tournament,13-03-2017 23:30
dkwpqywfbjb,1037384,Weekly tournament,07-03-2017 00:30
dkwpqywdbkc,1037384,Weekly tournament,28-02-2017 00:30
dkwpqywdbbc,1037384,Weekly tournament,21-02-2017 00:30
dkwpqywdbrb,1037384,Weekly tournament,14-02-2017 00:30
